,installer_id,market,year,own_price,other_prices
1080,20349.0,4.0,2015.0,,4.0937574013419775
1092,20349.0,4.0,2016.0,,4.0577052006354695
1104,20349.0,4.0,2017.0,,3.81264238887363
1109,20380.0,4.0,2013.0,5.533244609832764,4.9743401323046
1112,20380.0,4.0,2014.0,5.164399147033691,4.740766433569101
1124,20380.0,4.0,2015.0,4.5032076835632315,4.075146024877375
1136,20380.0,4.0,2016.0,4.18064546585083,4.052787590026855
1148,20380.0,4.0,2017.0,3.941709756851196,3.8076782593360314
1152,20594.0,4.0,2014.0,4.579020977020264,4.785795523570134
1160,20594.0,4.0,2015.0,3.72850513458252,4.1103597771037705
1172,20594.0,4.0,2016.0,3.7004780769348153,4.0719942855834965
1184,20594.0,4.0,2017.0,3.76596736907959,3.8144375819426317
1188,20647.0,4.0,2014.0,,4.771025913102286
1189,20647.0,4.0,2015.0,,4.0937574013419775
1201,20647.0,4.0,2016.0,,4.0577052006354695
1213,20647.0,4.0,2017.0,,3.81264238887363
1225,20647.0,4.0,2018.0,,
1229,20668.0,4.0,2015.0,2.9689757823944087,4.144883838566867
1241,20668.0,4.0,2016.0,2.8324711322784424,4.106714563369751
1253,20668.0,4.0,2017.0,3.1678872108459477,3.8374406649516177
1265,20668.0,4.0,2018.0,,
1270,20701.0,4.0,2015.0,7.165999412536621,3.954110037196766
1271,20701.0,4.0,2016.0,6.687099933624268,3.952529411315918
1283,20701.0,4.0,2017.0,5.601217269897461,3.7438510472957907
1295,20701.0,4.0,2018.0,,
1300,20712.0,4.0,2015.0,3.5565705299377437,4.118174986405806
1312,20712.0,4.0,2016.0,3.5151052474975586,4.079409198760986
1324,20712.0,4.0,2017.0,3.348219394683838,3.8305048117270837
1336,20712.0,4.0,2018.0,,
1337,20831.0,4.0,2016.0,,4.0577052006354695
1338,20951.0,4.0,2015.0,,4.0937574013419775
1346,20951.0,4.0,2016.0,,4.0577052006354695
1358,20951.0,4.0,2017.0,,3.81264238887363
1370,20951.0,4.0,2018.0,,
1375,21170.0,4.0,2015.0,3.751661777496338,4.10930720242587
1380,21170.0,4.0,2016.0,4.5477399826049805,4.03810380935669
1392,21170.0,4.0,2017.0,4.310847759246826,3.7934806438592763
1401,21193.0,4.0,2015.0,,4.0937574013419775
1405,21193.0,4.0,2016.0,,4.0577052006354695
1417,21193.0,4.0,2017.0,,3.81264238887363
1425,21195.0,4.0,2015.0,3.929903268814087,4.101205316456881
1427,21195.0,4.0,2016.0,3.667555332183838,4.0733111953735355
1439,21195.0,4.0,2017.0,4.461650848388672,3.7876805250461283
1451,21195.0,4.0,2018.0,,
1455,21232.0,4.0,2015.0,,4.0937574013419775
1456,21232.0,4.0,2016.0,,4.0577052006354695
1468,21232.0,4.0,2017.0,,3.81264238887363
1480,21232.0,4.0,2018.0,,
1485,21242.0,4.0,2015.0,3.791826486587525,4.107481533830816
1488,21242.0,4.0,2016.0,3.4667971134185787,4.081341524124145
1500,21242.0,4.0,2017.0,2.826521158218384,3.8505701285142164
1512,21242.0,4.0,2018.0,,
1517,21313.0,4.0,2016.0,,4.0577052006354695
1521,21342.0,4.0,2016.0,4.0627617835998535,4.057502937316895
1522,21342.0,4.0,2017.0,2.7774806022644043,3.8524563037432156
1525,21356.0,4.0,2016.0,,4.0577052006354695
1536,21356.0,4.0,2017.0,2.8887124061584477,3.8481781574395986
1548,21356.0,4.0,2018.0,,
1549,21358.0,4.0,2016.0,2.367302417755127,4.1253213119506835
1559,21358.0,4.0,2017.0,2.0610010623931885,3.880013209122878
1571,21358.0,4.0,2018.0,,
1576,21360.0,4.0,2016.0,3.8117792606353764,4.067542238235474
1587,21360.0,4.0,2017.0,2.907435417175293,3.8474580416312585
1599,21360.0,4.0,2018.0,,
1604,21384.0,4.0,2016.0,3.126439094543457,4.09495584487915
1614,21384.0,4.0,2017.0,3.7500834465026855,3.8150485020417433
1626,21384.0,4.0,2018.0,,
1631,21398.0,4.0,2016.0,3.2810909748077397,4.088769769668579
1640,21398.0,4.0,2017.0,3.573420524597168,3.82184322980734
1652,21398.0,4.0,2018.0,,
1657,21403.0,4.0,2016.0,,4.0577052006354695
1664,21403.0,4.0,2017.0,,3.81264238887363
1676,21403.0,4.0,2018.0,,
1681,21438.0,4.0,2016.0,,4.0577052006354695
1690,21438.0,4.0,2017.0,,3.81264238887363
1702,21438.0,4.0,2018.0,,
1707,21442.0,4.0,2017.0,,3.81264238887363
1708,21535.0,4.0,2016.0,3.3549532890319824,4.085815277099609
1715,21535.0,4.0,2017.0,3.4330875873565674,3.8272406504704404
1726,21536.0,4.0,2016.0,,4.0577052006354695
1732,21542.0,4.0,2016.0,,4.0577052006354695
1739,21542.0,4.0,2017.0,,3.81264238887363
1751,21542.0,4.0,2018.0,,
1756,21554.0,4.0,2016.0,,4.0577052006354695
1763,21554.0,4.0,2017.0,,3.81264238887363
1775,21554.0,4.0,2018.0,,
1779,21576.0,4.0,2016.0,3.351804256439209,4.116530279318492
1785,21576.0,4.0,2017.0,3.4406471252441406,3.842402009963989
1789,21590.0,4.0,2016.0,,4.0577052006354695
1795,21590.0,4.0,2017.0,,3.81264238887363
1807,21590.0,4.0,2018.0,,
1812,21614.0,4.0,2016.0,,4.0577052006354695
1817,21643.0,4.0,2016.0,4.1894941329956055,4.052433643341065
1821,21704.0,4.0,2016.0,,4.0577052006354695
1822,21704.0,4.0,2017.0,,3.81264238887363
1834,21704.0,4.0,2018.0,,
1839,21840.0,4.0,2017.0,4.354125499725342,3.7918161153793335
1842,21898.0,4.0,2017.0,,3.81264238887363
1851,21898.0,4.0,2018.0,,
1856,21940.0,4.0,2018.0,,
1860,21973.0,4.0,2018.0,,
1861,22012.0,4.0,2017.0,,3.81264238887363
1870,22016.0,4.0,2017.0,4.418181419372559,3.7893524261621327
1872,22228.0,4.0,2017.0,3.1990566253662114,3.836241841316223
1873,22238.0,4.0,2017.0,3.541836261749268,3.823058009147644
1878,22238.0,4.0,2018.0,,
1881,22339.0,4.0,2017.0,3.0493829250335693,3.841998522098248
1888,22339.0,4.0,2018.0,,
1893,22344.0,4.0,2017.0,,3.81264238887363
1900,22344.0,4.0,2018.0,,
1905,22347.0,4.0,2017.0,,3.81264238887363
1906,22362.0,4.0,2017.0,4.092788219451903,3.8018675492360043
1910,22383.0,4.0,2017.0,,3.81264238887363
1916,22383.0,4.0,2018.0,,
1920,22391.0,4.0,2017.0,4.809157848358153,3.7743148712011485
1925,22391.0,4.0,2018.0,,
1930,22406.0,4.0,2017.0,,3.81264238887363
1935,22417.0,4.0,2017.0,,3.81264238887363
1936,22574.0,4.0,2017.0,,3.81264238887363
1941,22574.0,4.0,2018.0,,
1946,22735.0,4.0,2017.0,,3.81264238887363
1948,22735.0,4.0,2018.0,,
1953,22746.0,4.0,2017.0,,3.81264238887363
1954,22746.0,4.0,2018.0,,
1959,22812.0,4.0,2017.0,,3.81264238887363
1960,22812.0,4.0,2018.0,,
1961,22879.0,4.0,2018.0,,
1963,22979.0,4.0,2018.0,,
1965,21441.0,5.0,2016.0,,
1974,21441.0,5.0,2017.0,,
1986,21441.0,5.0,2018.0,,
1988,21513.0,5.0,2016.0,,
1995,21513.0,5.0,2017.0,,
2007,21513.0,5.0,2018.0,,
2008,22511.0,5.0,2017.0,,
2012,22511.0,5.0,2018.0,,
2016,363.0,6.0,2016.0,,3.4958324909210203
2025,363.0,6.0,2017.0,,3.3674572110176086
2030,20367.0,6.0,2013.0,3.8240771293640137,4.929997444152832
2033,20367.0,6.0,2014.0,4.543741703033447,2.5735180377960205
2045,20367.0,6.0,2015.0,3.714739799499512,3.3017722368240356
2057,20573.0,6.0,2014.0,,3.2302592595418296
2067,20573.0,6.0,2015.0,,3.4394280910491943
2079,20573.0,6.0,2016.0,3.554259777069092,3.4812256693840027
2091,20573.0,6.0,2017.0,3.279640913009644,3.396729310353597
2103,20573.0,6.0,2018.0,,
2108,21206.0,6.0,2015.0,,3.4394280910491943
2112,21206.0,6.0,2016.0,4.195821285247804,3.320835292339325
2124,21206.0,6.0,2017.0,3.17016077041626,3.433222691218058
2136,21206.0,6.0,2018.0,,
2139,21444.0,6.0,2016.0,3.8919751644134517,3.3967968225479126
2145,21648.0,6.0,2016.0,2.618966579437256,3.7150489687919617
2150,21648.0,6.0,2017.0,3.3065185546875,3.387770096460978
2152,3250.0,7.0,2016.0,,3.5108423233032227
2154,3250.0,7.0,2017.0,,3.5095932483673096
2156,21707.0,7.0,2016.0,3.2113571166992188,3.8103275299072266
2158,21707.0,7.0,2017.0,3.3286495208740234,3.690536975860596
2162,22337.0,7.0,2017.0,3.690536975860596,3.3286495208740234
2169,22337.0,7.0,2018.0,,
2174,21657.0,8.0,2016.0,,
2176,21657.0,8.0,2017.0,,
2188,21657.0,8.0,2018.0,,
2193,22308.0,8.0,2017.0,,
2195,22401.0,8.0,2017.0,,
2201,22401.0,8.0,2018.0,,
2206,22409.0,8.0,2017.0,,
2208,22589.0,8.0,2017.0,,
2212,22589.0,8.0,2018.0,,
2214,22961.0,8.0,2018.0,,
2217,1865.0,9.0,2015.0,,4.1182074546813965
2222,1865.0,9.0,2016.0,,4.282275438308716
2234,1865.0,9.0,2017.0,,3.4877912998199463
2246,1865.0,9.0,2018.0,,
2251,3455.0,9.0,2015.0,,4.1182074546813965
2263,3455.0,9.0,2016.0,,4.282275438308716
2275,6200.0,9.0,2015.0,4.127540111541748,4.108874797821045
2286,6200.0,9.0,2016.0,4.208209991455078,4.3563408851623535
2298,6200.0,9.0,2017.0,3.5827329158782963,3.3928496837615967
2310,6200.0,9.0,2018.0,,
2315,20314.0,9.0,2013.0,,4.699044227600098
2321,20314.0,9.0,2014.0,,3.465087890625
2333,20314.0,9.0,2015.0,,4.1182074546813965
2345,20314.0,9.0,2016.0,,4.282275438308716
2357,20314.0,9.0,2017.0,,3.4877912998199463
2369,20314.0,9.0,2018.0,,
2374,20370.0,9.0,2013.0,,4.699044227600098
2379,20370.0,9.0,2014.0,,3.465087890625
2391,20370.0,9.0,2015.0,,4.1182074546813965
2403,20370.0,9.0,2016.0,,4.282275438308716
2415,20370.0,9.0,2017.0,,3.4877912998199463
2427,20370.0,9.0,2018.0,,
2432,21161.0,9.0,2015.0,,4.1182074546813965
2437,21161.0,9.0,2016.0,,4.282275438308716
2449,21161.0,9.0,2017.0,,3.4877912998199463
2461,21161.0,9.0,2018.0,,
2466,21450.0,9.0,2016.0,,4.282275438308716
2474,21450.0,9.0,2017.0,,3.4877912998199463
2486,21450.0,9.0,2018.0,,
2491,21910.0,9.0,2017.0,,3.4877912998199463
2502,21910.0,9.0,2018.0,,
2503,21992.0,9.0,2017.0,3.3928496837615967,3.5827329158782963
2510,21992.0,9.0,2018.0,,
2515,22439.0,9.0,2017.0,,3.4877912998199463
2519,22986.0,9.0,2018.0,,
2521,20087.0,10.0,2014.0,3.8117771148681636,
2531,20087.0,10.0,2015.0,4.198193073272705,
2543,20087.0,10.0,2016.0,4.183290481567384,
2555,20087.0,10.0,2017.0,,
2567,20087.0,10.0,2018.0,,
2569,21921.0,10.0,2017.0,,
2578,21921.0,10.0,2018.0,,
2583,22759.0,10.0,2017.0,,
2584,22759.0,10.0,2018.0,,
2589,20385.0,11.0,2013.0,5.154196739196777,
2592,20385.0,11.0,2014.0,4.760302543640137,
2604,20385.0,11.0,2015.0,4.864099502563477,
2616,20385.0,11.0,2016.0,4.582026481628418,
2628,20385.0,11.0,2017.0,4.283436298370361,
2640,20385.0,11.0,2018.0,,
2645,21320.0,11.0,2016.0,,4.582026481628418
2656,21320.0,11.0,2017.0,,4.283436298370361
2659,22591.0,11.0,2017.0,,4.283436298370361
2663,22591.0,11.0,2018.0,,
2668,21318.0,12.0,2016.0,3.837976694107056,
2669,20507.0,13.0,2014.0,3.911564588546753,3.845287084579468
2680,20507.0,13.0,2015.0,3.452381134033203,
2692,20507.0,13.0,2016.0,3.13596510887146,
2696,20545.0,13.0,2014.0,,3.8784258365631104
2703,20545.0,13.0,2015.0,,3.452381134033203
2715,20545.0,13.0,2016.0,,3.13596510887146
2727,20545.0,13.0,2017.0,,2.4997074604034424
2739,20545.0,13.0,2018.0,,
2744,21538.0,13.0,2016.0,,3.13596510887146
2750,21538.0,13.0,2017.0,,2.4997074604034424
2757,21717.0,13.0,2016.0,,3.13596510887146
2760,21717.0,13.0,2017.0,,2.4997074604034424
2772,21717.0,13.0,2018.0,,
2777,21983.0,13.0,2017.0,,2.4997074604034424
2778,20048.0,14.0,2015.0,,
2782,20048.0,14.0,2016.0,,
2794,20048.0,14.0,2017.0,,
2806,20048.0,14.0,2018.0,,
2811,20520.0,14.0,2014.0,,
2822,20520.0,14.0,2015.0,,
2834,20520.0,14.0,2016.0,,
2846,20520.0,14.0,2017.0,,
2858,20520.0,14.0,2018.0,,
2859,20682.0,14.0,2015.0,,
2869,20682.0,14.0,2016.0,,
2881,20682.0,14.0,2017.0,,
2893,20682.0,14.0,2018.0,,
2898,21645.0,14.0,2016.0,,
2901,21645.0,14.0,2017.0,,
2913,21645.0,14.0,2018.0,,
2918,20613.0,15.0,2015.0,,
2928,20613.0,15.0,2016.0,,
2934,21402.0,15.0,2017.0,,
2935,21402.0,15.0,2018.0,,
2940,20109.0,16.0,2017.0,,
2945,20729.0,16.0,2015.0,,
2951,20729.0,16.0,2016.0,,
2963,20729.0,16.0,2017.0,,
2975,20729.0,16.0,2018.0,,
2979,21188.0,16.0,2015.0,,
2983,21188.0,16.0,2016.0,,
2995,21188.0,16.0,2017.0,,
3007,21188.0,16.0,2018.0,,
3012,21459.0,16.0,2016.0,,
3020,21459.0,16.0,2017.0,,
3032,21459.0,16.0,2018.0,,
3037,1234.0,17.0,2014.0,,4.092041277885437
3041,1831.0,17.0,2017.0,,3.6576237877209983
3048,6204.0,17.0,2013.0,4.971757888793945,4.385881974146916
3057,6204.0,17.0,2014.0,4.148955821990967,4.085717439651489
3069,6204.0,17.0,2015.0,4.38904333114624,4.1115100383758545
3076,6351.0,17.0,2013.0,3.974734783172608,4.462576059194712
3079,6351.0,17.0,2014.0,3.578800678253174,4.149068011177911
3091,6351.0,17.0,2015.0,3.535637378692627,4.182627201080322
3103,6351.0,17.0,2016.0,3.3062636852264404,3.7949989795684815
3115,6351.0,17.0,2017.0,2.5291099548339844,3.7602159543470903
3127,6351.0,17.0,2018.0,,
3129,20015.0,17.0,2014.0,3.969136238098145,4.105697393417358
3132,20015.0,17.0,2015.0,4.296592712402344,4.119214256604512
3144,20015.0,17.0,2016.0,4.050086498260498,3.7206166982650757
3156,20015.0,17.0,2017.0,3.6110570430755615,3.6618571281433105
3168,20015.0,17.0,2018.0,,
3173,20046.0,17.0,2013.0,4.71999454498291,4.405248385209304
3177,20046.0,17.0,2014.0,,4.092041277885437
3189,20046.0,17.0,2015.0,5.270040512084961,4.038093606630961
3201,20046.0,17.0,2016.0,,3.7505684982646597
3213,20046.0,17.0,2017.0,,3.6576237877209983
3225,20046.0,17.0,2018.0,,
3230,20179.0,17.0,2016.0,,3.7505684982646597
3236,20179.0,17.0,2017.0,3.3071038722991943,3.689489234577526
3237,20334.0,17.0,2013.0,4.122179985046387,4.451234120589036
3242,20334.0,17.0,2014.0,3.2617743015289307,4.184293164147271
3254,20334.0,17.0,2015.0,3.1403238773345947,4.215569992860158
3266,20334.0,17.0,2016.0,3.3316006660461426,3.7924652814865114
3278,20334.0,17.0,2017.0,2.831060647964477,3.732765891335227
3290,20334.0,17.0,2018.0,,
3295,20583.0,17.0,2016.0,4.239186763763429,3.7017066717147826
3302,20583.0,17.0,2017.0,4.260944366455078,3.602776462381536
3314,20583.0,17.0,2018.0,,
3316,20617.0,17.0,2017.0,,3.6576237877209983
3320,20617.0,17.0,2018.0,,
3324,20619.0,17.0,2014.0,,4.092041277885437
3326,20619.0,17.0,2015.0,,4.132858753204346
3338,20619.0,17.0,2016.0,,3.7505684982646597
3350,20619.0,17.0,2017.0,,3.6576237877209983
3362,20619.0,17.0,2018.0,,
3366,20669.0,17.0,2015.0,,4.132858753204346
3372,20669.0,17.0,2016.0,,3.7505684982646597
3384,20669.0,17.0,2017.0,,3.6576237877209983
3396,20669.0,17.0,2018.0,,
3401,20695.0,17.0,2014.0,3.956084728240967,4.107147561179267
3402,20695.0,17.0,2015.0,4.147369384765625,4.131649533907573
3414,20695.0,17.0,2016.0,3.73576021194458,3.7520493268966675
3426,20695.0,17.0,2017.0,3.625643968582153,3.6605310440063477
3438,20695.0,17.0,2018.0,,
3443,20862.0,17.0,2016.0,,3.7505684982646597
3448,21113.0,17.0,2015.0,3.430384397506714,4.191398282845815
3451,21113.0,17.0,2016.0,3.4700241088867188,3.778622937202454
3463,21113.0,17.0,2017.0,3.6217374801635738,3.6608861793171275
3475,21113.0,17.0,2018.0,,
3479,21157.0,17.0,2015.0,,4.132858753204346
3483,21157.0,17.0,2016.0,,3.7505684982646597
3487,21165.0,17.0,2016.0,,3.7505684982646597
3498,21165.0,17.0,2017.0,,3.6576237877209983
3510,21165.0,17.0,2018.0,,
3515,21294.0,17.0,2018.0,,
3517,21309.0,17.0,2016.0,3.916985273361206,3.7339268207550047
3529,21309.0,17.0,2017.0,3.702239990234375,3.653567769310691
3541,21309.0,17.0,2018.0,,
3546,21312.0,17.0,2016.0,3.095238208770752,3.8161015272140504
3551,21312.0,17.0,2017.0,,3.6576237877209983
3562,21347.0,17.0,2016.0,,3.7505684982646597
3569,21347.0,17.0,2017.0,,3.6576237877209983
3579,21434.0,17.0,2016.0,,3.7505684982646597
3587,21434.0,17.0,2017.0,,3.6576237877209983
3599,21458.0,17.0,2017.0,,3.6576237877209983
3605,21458.0,17.0,2018.0,,
3608,21556.0,17.0,2016.0,,3.7505684982646597
3614,21556.0,17.0,2017.0,,3.6576237877209983
3626,21556.0,17.0,2018.0,,
3629,21604.0,17.0,2016.0,,3.7505684982646597
3635,21604.0,17.0,2017.0,,3.6576237877209983
3645,21663.0,17.0,2016.0,,3.7505684982646597
3649,21715.0,17.0,2016.0,,3.7505684982646597
3650,21829.0,17.0,2017.0,,3.6576237877209983
3656,21837.0,17.0,2017.0,4.493894100189209,3.5815992138602515
3667,21837.0,17.0,2018.0,,
3672,21865.0,17.0,2017.0,4.426044940948486,3.587767319245772
3675,21914.0,17.0,2017.0,,3.6576237877209983
3682,22232.0,17.0,2017.0,3.8708224296569824,3.638242092999545
3690,22232.0,17.0,2018.0,,
3694,22345.0,17.0,2017.0,,3.6576237877209983
3700,22345.0,17.0,2018.0,,
3704,22546.0,17.0,2017.0,,3.6576237877209983
3709,22546.0,17.0,2018.0,,
3711,22718.0,17.0,2017.0,,3.6576237877209983
3713,22718.0,17.0,2018.0,,
3717,20931.0,18.0,2016.0,,
3721,20931.0,18.0,2017.0,,
3733,20931.0,18.0,2018.0,,
3737,1790.0,20.0,2017.0,,3.2683703899383545
3747,1790.0,20.0,2018.0,,
3751,20193.0,20.0,2015.0,,3.8379802703857417
3762,20193.0,20.0,2016.0,,3.469066619873047
3774,20193.0,20.0,2017.0,,3.2683703899383545
3786,20193.0,20.0,2018.0,,
3790,20300.0,20.0,2013.0,,3.806333303451538
3798,20300.0,20.0,2014.0,,
3810,20300.0,20.0,2015.0,,3.8379802703857417
3822,20300.0,20.0,2016.0,,3.469066619873047
3834,20300.0,20.0,2017.0,,3.2683703899383545
3837,20358.0,20.0,2013.0,,3.806333303451538
3842,20358.0,20.0,2014.0,,
3854,20358.0,20.0,2015.0,,3.8379802703857417
3866,20358.0,20.0,2016.0,,3.469066619873047
3878,20358.0,20.0,2017.0,,3.2683703899383545
3890,20358.0,20.0,2018.0,,
3895,20368.0,20.0,2017.0,,3.2683703899383545
3906,20368.0,20.0,2018.0,,
3911,20898.0,20.0,2015.0,3.8379802703857417,
3916,20898.0,20.0,2016.0,3.469066619873047,
3928,20898.0,20.0,2017.0,3.2683703899383545,
3940,20898.0,20.0,2018.0,,
3941,21091.0,20.0,2017.0,,3.2683703899383545
3951,21091.0,20.0,2018.0,,
3955,21117.0,20.0,2015.0,,3.8379802703857417
3959,21117.0,20.0,2016.0,,3.469066619873047
3971,21117.0,20.0,2017.0,,3.2683703899383545
3983,21117.0,20.0,2018.0,,
3988,21127.0,20.0,2015.0,,3.8379802703857417
3993,21127.0,20.0,2016.0,,3.469066619873047
4005,21127.0,20.0,2017.0,,3.2683703899383545
4017,21127.0,20.0,2018.0,,
4022,21310.0,20.0,2016.0,,3.469066619873047
4032,21310.0,20.0,2017.0,,3.2683703899383545
4035,21335.0,20.0,2016.0,,3.469066619873047
4047,21335.0,20.0,2017.0,,3.2683703899383545
