,index,text_d_self_mean,text_d_self_std,text_d_self_min,text_d_self_p25,text_d_self_p50,text_d_self_p75,text_d_self_max
0,1,0.2325438857078552,,0.2325438857078552,0.2325438857078552,0.2325438857078552,0.2325438857078552,0.2325438857078552
1,2,0.10439788103103638,0.024051476478046528,0.06895774602890015,0.08806809782981873,0.09930402040481567,0.12032204866409302,0.14949029684066772
2,3,0.12496035652501243,0.045977102856374595,0.05553716421127319,0.09135176241397858,0.11188486218452454,0.1494828760623932,0.21183454990386968
3,4,0.18812072277069092,0.05613709530702787,0.12502747774124146,0.16590914130210876,0.20679080486297607,0.21966734528541565,0.2325438857078552
4,5,0.16372057795524597,0.062318916592810816,0.09876030683517456,0.10634768009185791,0.16590914130210876,0.21600763499736786,0.2325438857078552
5,7,0.13978230953216553,0.005524161266685629,0.1337350606918335,0.13739165663719177,0.14104825258255005,0.14280593395233154,0.14456361532211304
6,8,0.13180488348007202,0.026992933026091497,0.08933377265930176,0.10906539857387543,0.13739165663719177,0.14425106346607208,0.17393898963928225
7,9,0.10068176190058391,0.0261878167874307,0.07462859153747559,0.08752155303955078,0.10041451454162598,0.11370834708213806,0.12700217962265015
8,10,0.11680394411087036,0.033522912841353336,0.05334150791168213,0.09182712435722351,0.11105769872665404,0.14218083024024963,0.17393898963928225
9,11,0.1143251437207927,0.044379961551047134,0.04521286487579346,0.08174304664134979,0.10602641105651855,0.13290758430957794,0.2622021436691284
10,13,0.11302760342756907,0.04402467341875121,0.04521286487579346,0.08122175931930542,0.1044035255908966,0.13227809965610504,0.2622021436691284
11,14,0.09207147359848022,0.017822102992784295,0.06629949808120728,0.08188700675964355,0.08850523829460144,0.10061275959014891,0.1317031979560852
12,15,0.13250412827446348,0.04056044363345637,0.05334150791168213,0.10826599597930907,0.14104825258255005,0.15414375066757202,0.2176654934883117
13,16,0.19998902082443237,0.07955605174807708,0.0842825174331665,0.14821904897689822,0.1753576695919037,0.2571222484111786,0.31877458095550537
14,18,0.3699507713317871,,0.3699507713317871,0.3699507713317871,0.3699507713317871,0.3699507713317871,0.3699507713317871
15,21,,,,,,,
16,23,0.07957488298416138,,0.07957488298416138,0.07957488298416138,0.07957488298416138,0.07957488298416138,0.07957488298416138
17,26,0.10035815834999084,0.02629117351972867,0.06594204902648926,0.08404433727264404,0.09951716661453247,0.1142493486404419,0.1391257643699646
18,29,0.12890050808588663,0.030419349167497323,0.04073774814605713,0.1203770637512207,0.1271396279335022,0.13699400424957275,0.1908085346221924
19,30,0.2738531827926636,0.19351453527910956,0.05063265562057495,0.21365138888359073,0.3766701221466065,0.3854634463787079,0.3942567706108093
20,31,0.11785686016082764,0.008182476904523617,0.10845291614532472,0.11510986089706422,0.12176680564880372,0.1225588321685791,0.12335085868835448
21,32,0.12928007949482312,0.03588640357841566,0.04972368478775024,0.108721524477005,0.12661761045455933,0.1570812165737152,0.21357256174087524
22,33,0.12221089218344007,0.03415449343606857,0.04073774814605713,0.114515021443367,0.12531349062919617,0.13620279729366302,0.1908085346221924
23,36,0.10502439737319946,0.028114908359137384,0.07132381200790405,0.08227556943893433,0.10530421137809753,0.1294299215078354,0.13614296913146973
24,37,0.2510977288087209,0.1604971183685391,0.05063265562057495,0.12846796214580536,0.2651313245296478,0.3898601084947586,0.4113411903381348
25,38,0.1257679688208031,0.03601074229664925,0.04972368478775024,0.09669193625450134,0.1225588321685791,0.14957571029663086,0.21357256174087524
26,39,0.09150486588478088,0.031670900054912174,0.04580205678939818,0.0672886073589325,0.08588671684265137,0.1142493486404419,0.1391257643699646
27,40,0.10704110264778137,0.024221714167350243,0.07132381200790405,0.08702285587787627,0.10964471101760864,0.1294299215078354,0.13614296913146973
28,41,0.23164732456207277,0.14476068328046912,0.028929352760314938,0.1350882649421692,0.2049269676208496,0.3818716704845429,0.4662773013114929
29,42,0.13034067627711174,0.03624034180729384,0.04972368478775024,0.10840655863285066,0.1263156533241272,0.16364869475364685,0.21357256174087524
30,43,0.18451037406921386,0.05506219463338276,0.08208233118057251,0.16400232911109924,0.19444760680198664,0.2186713069677353,0.26364666223526
31,44,0.18647278679741752,0.1303318940043464,0.028929352760314938,0.07556216418743134,0.15109783411026,0.2589567303657531,0.4662773013114929
32,45,0.10080764691034953,0.026239198233354348,0.046848416328430176,0.08297580480575562,0.10427737236022948,0.1195175051689148,0.13614296913146973
33,46,0.17299493418799505,0.1281464803024037,0.028929352760314938,0.07114803791046143,0.13155359029769895,0.250685453414917,0.4662773013114929
