,index,text_d_others_mean,text_d_others_std,text_d_others_min,text_d_others_p25,text_d_others_p50,text_d_others_p75,text_d_others_max
7907,9467,0.13259310709779376,0.06468236418983113,0.0,0.087567999958992,0.11663636565208435,0.15872947871685028,0.55275559425354
7908,9468,0.13358733247005344,0.0645443749186657,0.0,0.08857977390289308,0.11778026819229125,0.16008079051971436,0.55275559425354
7909,9469,0.1333984139358633,0.06504807003610431,0.0,0.08801582455635071,0.11725467443466188,0.16027942299842834,0.55275559425354
7910,9470,0.1326446650765507,0.06445981273737042,0.0,0.0878867506980896,0.11679428815841675,0.15878427028656006,0.55275559425354
7911,9471,0.13462328045335534,0.06479952198917957,0.0242266058921814,0.08921995759010315,0.1189890205860138,0.16157932579517365,0.55275559425354
7912,9472,0.13333925785124495,0.06447898746187446,0.0,0.08847704529762268,0.11787950992584229,0.1598164290189743,0.55275559425354
7913,9473,0.13374550388553816,0.0646602277669849,0.0,0.08879983425140381,0.11818018555641174,0.16000181436538696,0.55275559425354
7914,9474,0.13076100682313463,0.062477788752013035,0.0,0.08761785924434663,0.11619827151298523,0.156248539686203,0.55275559425354
7915,9475,0.133914407498464,0.06455676526616405,0.0,0.0890238881111145,0.11815601587295532,0.16023159027099607,0.55275559425354
7916,9476,0.13198952471733252,0.06392461345301467,0.0,0.08765408396720886,0.1166774034500122,0.15787231922149658,0.55275559425354
7917,9477,0.13323139041866844,0.06448179934567262,0.0,0.08833649754524231,0.11766073107719423,0.15970495343208313,0.55275559425354
7918,9478,0.13311040134733892,0.06428555464243213,0.0,0.08845677971839905,0.11760717630386353,0.15928906202316284,0.55275559425354
7919,9479,0.13302076745698177,0.06429175630419268,0.0,0.0883415937423706,0.11745625734329225,0.1591949462890625,0.55275559425354
7920,9480,0.13350635590862478,0.06451446318773586,0.0,0.0886116772890091,0.11796358227729797,0.15998105704784393,0.55275559425354
7921,9481,0.13337550683879806,0.06508291555349237,0.0,0.0881270319223404,0.11732175946235657,0.16009649634361267,0.55275559425354
7922,9482,0.13305329968159893,0.06432759698651862,0.0,0.08838900923728943,0.11746209859848022,0.15928086638450623,0.55275559425354
7923,9483,0.1327130730793658,0.06446563270802914,0.0,0.08795416355133058,0.1168476939201355,0.1589481234550476,0.55275559425354
7924,9484,0.13309985524439716,0.06430479574420817,0.0,0.08844244480133057,0.11754703521728516,0.1593168079853058,0.55275559425354
7925,9485,0.13257280171774988,0.06334766009559248,0.0,0.08857126533985138,0.11742886900901794,0.15871647000312805,0.55275559425354
7926,9486,0.13321294955903315,0.06425071764835143,0.0,0.08855628967285156,0.11763817071914673,0.15933892130851746,0.55275559425354
7927,9487,0.1323077243185204,0.0650164220804105,0.0,0.08748739957809448,0.11597496271133426,0.15780356526374817,0.55275559425354
7928,9488,0.13519558827180958,0.0660553518350584,0.0,0.08904820680618288,0.11850014328956604,0.16190163791179654,0.55275559425354
7929,9489,0.1330622655385994,0.06431108099382384,0.0,0.08839559555053711,0.1174771785736084,0.15926006436347961,0.55275559425354
7930,9490,0.133367489531337,0.06442064438542845,0.0,0.08855968713760376,0.1179502010345459,0.15971076488494873,0.55275559425354
7931,9491,0.13240802929030945,0.0641849732570094,0.0,0.08803293108940125,0.11679428815841675,0.15791609883308413,0.55275559425354
7932,9492,0.13365892945661453,0.0644294452435017,0.0,0.08874151110649109,0.11806294322013854,0.16004012525081637,0.55275559425354
7933,9493,0.13228169043123378,0.06352574097304982,0.0,0.08816424012184143,0.1170874834060669,0.15841928124427795,0.55275559425354
7934,9494,0.1325217279641025,0.06448251456344282,0.0,0.08785921335220337,0.11649215221405028,0.15861910581588745,0.55275559425354
7935,9495,0.13298581808347262,0.06431687931100487,0.0,0.08859345316886902,0.11807921528816223,0.15904678404331207,0.55275559425354
7936,9496,0.13293131671085895,0.06448703158812845,0.0,0.08811020851135254,0.11709892749786376,0.15922045707702634,0.55275559425354
7937,9497,0.13388397884305603,0.06467493103048243,0.0,0.08876273036003113,0.11834806203842164,0.16055530309677124,0.55275559425354
7938,9498,0.13013299831878516,0.06372399695888631,0.0,0.08698683977127075,0.1150004267692566,0.15263807773590088,0.55275559425354
7939,9499,0.13267175883310073,0.06311993776699558,0.0,0.08856970071792603,0.11802273988723756,0.15937578678131104,0.5476659834384918
7940,9500,0.13298833197711474,0.06436760258976187,0.0,0.0882028341293335,0.11741209030151367,0.1592218577861786,0.55275559425354
7941,9501,0.1329722892967235,0.06527786108317529,0.0,0.08751961588859558,0.11690670251846312,0.15949995815753937,0.55275559425354
7942,9502,0.1289305300875572,0.05937422420033661,0.0,0.08657410740852356,0.1148672103881836,0.15479637682437897,0.4317965507507324
7943,9503,0.13149791930518953,0.06433007272729527,0.0,0.08678372204303741,0.1155110001564026,0.15720719099044797,0.55275559425354
7944,9504,0.13246772917135838,0.06420451243884885,0.0,0.08780178427696228,0.11655575037002563,0.15864279866218567,0.55275559425354
7945,9505,0.13227043627322585,0.06469108414159332,0.0,0.08714351058006287,0.11602756381034851,0.15872810781002045,0.55275559425354
7946,9506,0.13155559818557297,0.0641156654027585,0.0,0.08703136444091797,0.11562246084213255,0.15724462270736694,0.55275559425354
7947,9507,0.13366276279813627,0.06468007147405654,0.0242266058921814,0.08842086791992188,0.11799776554107665,0.16047215461730954,0.55275559425354
7948,9508,0.1322323606130081,0.06414094822713814,0.0,0.08764705061912537,0.11661314964294435,0.15827465057373047,0.55275559425354
7949,9509,0.13258114704554808,0.06430813811761835,0.0,0.08799725770950317,0.11689352989196775,0.15846002101898193,0.55275559425354
7950,9510,0.129703166028045,0.062135614317672457,0.0,0.08683061599731445,0.1151077151298523,0.1547938883304596,0.55275559425354
7951,9511,0.1327790419490462,0.06421871296490529,0.0,0.08816701173782349,0.1169014573097229,0.158704936504364,0.55275559425354
7952,9512,0.1308961807285172,0.06357679581267951,0.0,0.08686551451683044,0.1155427098274231,0.15629395842552185,0.55275559425354
7953,9513,0.13212356607155107,0.06414350737009583,0.0,0.08750209212303162,0.11641371250152588,0.15820610523223877,0.55275559425354
7954,9514,0.13201780293282925,0.06395017731242128,0.0,0.08762979507446289,0.11637136340141299,0.15789052844047546,0.55275559425354
7955,9515,0.1319292334383171,0.06395650013629454,0.0,0.08752420544624329,0.1162724792957306,0.15780304372310638,0.55275559425354
