,labels,lat,long
0,0,45.5690803527832,-122.94670104980469
1,12,42.50366973876953,-83.78105926513672
2,4,34.004478454589844,-117.68470001220705
3,6,33.61074066162109,-111.89147186279295
4,22,29.985395431518555,-95.3462142944336
5,15,37.75969696044922,-77.48187255859375
6,22,29.652204513549805,-95.54622650146484
7,6,33.32322311401367,-111.62367248535156
8,-1,46.84268188476562,-96.72896575927734
9,19,28.03306007385254,-82.72437286376953
10,3,38.56220245361328,-121.20469665527344
11,4,34.19568634033203,-118.49075317382812
12,19,28.074806213378906,-82.49840545654297
13,-1,43.29253768920898,-86.29388427734375
14,4,33.617843627929695,-117.25930786132812
15,11,43.19374084472656,-90.08626556396484
16,19,28.134809494018555,-82.59146118164062
17,21,32.235095977783196,-95.3207778930664
18,-1,43.7137451171875,-98.04776763916016
19,0,45.32421875,-122.9873275756836
20,4,32.72191619873047,-116.78820037841795
21,23,29.588638305664066,-98.4745864868164
22,3,37.51689910888672,-121.91175079345705
23,4,33.75395965576172,-116.24649047851562
24,19,28.137943267822266,-82.44625091552734
25,15,39.49241256713867,-76.67444610595703
26,4,34.198291778564446,-118.60091400146484
27,23,30.45839691162109,-97.75534057617188
28,4,34.224193572998054,-118.63238525390624
29,0,45.25496292114258,-122.44937896728516
30,4,33.76539993286133,-116.3342056274414
31,12,42.46414184570313,-83.46395874023438
32,19,28.530092239379893,-81.17350006103516
33,4,33.68021011352539,-117.83335876464844
34,19,30.48124885559082,-81.50615692138672
35,4,32.90890884399414,-116.89197540283205
36,22,29.6242733001709,-95.56800842285156
37,22,29.853214263916016,-95.83145904541016
38,4,34.10110092163086,-117.57821655273438
39,4,33.02017593383789,-117.123291015625
40,15,40.88972091674805,-73.94197845458984
41,15,39.05753707885742,-77.39200592041016
42,15,42.47547912597656,-72.61540222167969
43,15,42.60543823242188,-72.29207611083984
44,4,34.17852020263672,-118.45923614501952
45,4,34.326583862304695,-118.38226318359376
46,8,39.83695983886719,-105.29962158203124
47,4,33.02017593383789,-117.123291015625
48,-1,38.676025390625,-90.37799072265624
49,4,34.20734024047852,-118.40097045898438
50,4,34.15509796142578,-118.54755401611328
51,3,38.16188049316406,-121.14983367919922
52,4,33.933563232421875,-118.06261444091795
53,6,33.679759979248054,-112.092529296875
54,4,34.40250778198242,-118.36341857910156
55,21,32.53789520263672,-95.43571472167969
56,21,31.557331085205078,-95.86363983154295
57,24,30.40703773498535,-90.06342315673828
58,4,33.79501342773437,-118.06269073486328
59,14,39.35353088378906,-81.89306640625
60,4,34.19568634033203,-118.49075317382812
61,15,39.05753707885742,-77.39200592041016
62,4,33.933563232421875,-118.06261444091795
63,4,34.29242706298828,-118.6023178100586
64,4,33.617843627929695,-117.25930786132812
65,4,34.23085403442383,-118.36585235595705
66,4,33.81825637817383,-116.46674346923828
67,19,27.901124954223643,-82.68223571777344
68,4,33.482940673828125,-117.22608184814452
69,16,35.12735748291016,-80.94684600830078
70,4,34.004478454589844,-117.68470001220705
71,15,38.68600463867188,-75.08667755126953
72,4,33.933563232421875,-118.06261444091795
73,1,48.34877014160156,-122.14546966552734
74,-1,47.65235900878906,-117.5260009765625
75,-1,46.59667205810547,-120.53385162353516
76,1,47.10829162597656,-122.87062072753906
77,1,48.19819259643555,-122.6540756225586
78,1,48.50091171264648,-122.3456573486328
79,1,48.79648971557617,-122.44588470458984
80,1,48.21712112426758,-121.95353698730469
81,1,47.58562850952149,-122.29196166992188
82,1,47.58562850952149,-122.29196166992188
83,1,47.58106231689453,-122.33815002441406
84,1,47.63867950439453,-122.3709487915039
85,1,47.66752624511719,-122.37754821777344
86,1,47.80970764160156,-122.2803955078125
87,2,44.00062561035156,-121.23381042480469
