,index,text_d_mkt_mean,text_d_mkt_std,text_d_mkt_min,text_d_mkt_p25,text_d_mkt_p50,text_d_mkt_p75,text_d_mkt_max
0,1,0.2325438857078552,,0.2325438857078552,0.2325438857078552,0.2325438857078552,0.2325438857078552,0.2325438857078552
1,2,0.13148378900119237,0.05357383618628571,0.06895774602890015,0.09243164956569673,0.11075007915496826,0.14962449669837952,0.24646145105361936
2,3,0.14378071361117892,0.060078411411601196,0.05553716421127319,0.09281814098358154,0.1291075348854065,0.1975422501564026,0.2850402593612671
3,4,0.14103564132343638,0.05769863434222699,0.05553716421127319,0.09315896034240723,0.12502747774124146,0.19521558284759521,0.2850402593612671
4,5,0.13587828838463986,0.056900588277710655,0.05553716421127319,0.09275484085083009,0.1167658567428589,0.18669354915618896,0.2850402593612671
5,7,0.13978230953216553,0.005524161266685629,0.1337350606918335,0.13739165663719177,0.14104825258255005,0.14280593395233154,0.14456361532211304
6,8,0.13180488348007202,0.026992933026091497,0.08933377265930176,0.10906539857387543,0.13739165663719177,0.14425106346607208,0.17393898963928225
7,9,0.12342748897416252,0.026124470608338217,0.07462859153747559,0.1080135554075241,0.12644129991531372,0.14171409606933594,0.17393898963928225
8,10,0.11586137943797642,0.02890447760183481,0.05334150791168213,0.09188596904277802,0.11145639419555665,0.1371273547410965,0.17393898963928225
9,11,0.11565332234590903,0.04209035616108275,0.04259437322616577,0.08504694700241089,0.10840082168579104,0.1350441575050354,0.2622021436691284
10,12,0.1161002605192123,0.042176679830425834,0.04259437322616577,0.08570301532745361,0.10839682817459106,0.13502097129821775,0.2733854055404663
11,13,0.11478103312753862,0.042062526887120644,0.03693294525146485,0.08481334149837494,0.10816705226898193,0.13377989828586578,0.2733854055404663
12,14,0.11199873336800584,0.039713711737495806,0.03693294525146485,0.08369608223438263,0.10510224103927612,0.13030374050140384,0.2733854055404663
13,15,0.12381437747581457,0.05133484088111718,0.03693294525146485,0.08809229731559753,0.11181867122650146,0.14410793781280518,0.3339551091194153
14,16,0.12442385564394784,0.05042919860380914,0.03693294525146485,0.08905725181102753,0.11389362812042235,0.14480061829090118,0.3339551091194153
15,17,0.13567575259421,0.06729421047229985,0.03693294525146485,0.08944502472877502,0.11726635694503784,0.15755541622638702,0.38326549530029297
