,labels,lat,long
0,0,45.5690803527832,-122.94670104980469
1,14,42.50366973876953,-83.78105926513672
2,4,34.004478454589844,-117.68470001220705
3,6,33.61074066162109,-111.89147186279295
4,30,29.985395431518555,-95.3462142944336
5,18,37.75969696044922,-77.48187255859375
6,30,29.652204513549805,-95.54622650146484
7,6,33.32322311401367,-111.62367248535156
8,-1,46.84268188476562,-96.72896575927734
9,25,28.03306007385254,-82.72437286376953
10,2,38.56220245361328,-121.20469665527344
11,4,34.19568634033203,-118.49075317382812
12,25,28.074806213378906,-82.49840545654297
13,-1,43.29253768920898,-86.29388427734375
14,4,33.617843627929695,-117.25930786132812
15,12,43.19374084472656,-90.08626556396484
16,25,28.134809494018555,-82.59146118164062
17,29,32.235095977783196,-95.3207778930664
18,-1,43.7137451171875,-98.04776763916016
19,0,45.32421875,-122.9873275756836
20,4,32.72191619873047,-116.78820037841795
21,31,29.588638305664066,-98.4745864868164
22,2,37.51689910888672,-121.91175079345705
23,4,33.75395965576172,-116.24649047851562
24,25,28.137943267822266,-82.44625091552734
26,4,34.198291778564446,-118.60091400146484
27,31,30.45839691162109,-97.75534057617188
28,4,34.224193572998054,-118.63238525390624
29,0,45.25496292114258,-122.44937896728516
30,4,33.76539993286133,-116.3342056274414
31,14,42.46414184570313,-83.46395874023438
32,25,28.530092239379893,-81.17350006103516
33,4,33.68021011352539,-117.83335876464844
34,-1,30.48124885559082,-81.50615692138672
35,4,32.90890884399414,-116.89197540283205
36,30,29.6242733001709,-95.56800842285156
37,30,29.853214263916016,-95.83145904541016
38,4,34.10110092163086,-117.57821655273438
39,4,33.02017593383789,-117.123291015625
44,4,34.17852020263672,-118.45923614501952
45,4,34.326583862304695,-118.38226318359376
46,9,39.83695983886719,-105.29962158203124
47,-1,38.676025390625,-90.37799072265624
48,4,34.20734024047852,-118.40097045898438
49,4,34.15509796142578,-118.54755401611328
50,2,38.16188049316406,-121.14983367919922
51,4,33.933563232421875,-118.06261444091795
52,6,33.679759979248054,-112.092529296875
53,4,34.40250778198242,-118.36341857910156
54,29,32.53789520263672,-95.43571472167969
55,-1,31.557331085205078,-95.86363983154295
56,32,30.40703773498535,-90.06342315673828
57,4,33.79501342773437,-118.06269073486328
58,-1,39.35353088378906,-81.89306640625
59,4,34.29242706298828,-118.6023178100586
